SMILES,InChIKey,AromaticRingCount,HBondDonorCount,HBondAcceptorCount,FractionCarbonSP3,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,HeteroatomCount,HeterocycleCount,RotatableBondCount,MolecularMass,DegreeOfUnsaturation,MinEllipsoidLength,MaxDistance,LongestPiChain,LinkerLength,MaxAbsorbanceWavelength
CCN1C=C/C(=C/c2cc[n+](CC)c3ccccc23)c2ccccc21,PBYSOAALDIVUSK-UHFFFAOYSA-N,3,0,1,0.173913043,14.81419425,8.986348213,6.292825576,4.909425894,3.587874798,2,2,3,327.451,13,217.2983613,13.15063336,10,2,610
CCN1C=C/C(=C/C=C/c2[n+](CC)c3ccccc3o2)c2ccccc21,COUGSHBDUFTYFC-UHFFFAOYSA-N,3,0,2,0.173913043,15.22244254,9.15466261,6.252310793,4.766632314,3.466845074,3,2,4,343.45,13,671.4959959,16.0185835,12,4,560
CCN1C=C/C(=C\c2[n+](CC)c3ccccc3cc2)c2ccccc21,CJRNTVYQEXDVCB-UHFFFAOYSA-N,3,0,1,0.173913043,14.81419425,8.990431255,6.279855118,4.891699834,3.626935883,2,2,3,327.451,13,263.4702018,13.70930718,11,2,572
CCN1C=C/C(=C\C=C\c2[n+](CC)c3ccccc3cc2)c2ccccc21,ONKAXOHRKIYFDJ-UHFFFAOYSA-N,3,0,1,0.16,15.96889479,9.657097922,6.661300973,5.131083774,3.756951554,2,2,4,353.489,14,319.2005747,15.97139809,13,4,664
CCN1C=C/C(=C\C=C\C=C\c2[n+](CC)c3ccccc3o2)c2ccccc21,QQWIIVKRRBJCBB-UHFFFAOYSA-N,3,0,2,0.16,16.37714308,9.821329277,6.637210973,4.988854536,3.593993693,3,2,5,369.488,14,3395.371931,18.18256685,14,6,662
CCN1C=C/C(=C/C=C/C=C/c2cc[n+](CC)c3ccccc23)c2ccccc21,MLENNECRNUHQQS-UHFFFAOYSA-N,3,0,1,0.148148148,17.12359533,10.31968155,7.059171612,5.372210728,3.841884175,2,2,5,379.527,15,589.1816286,15.75017387,14,6,794
CCN1C=C/C(=C/C=C/C=C/C=C/c2[n+](CC)c3ccccc3s2)c2ccccc21,TWHSTEAIMSNAOL-UHFFFAOYSA-N,3,0,2,0.148148148,17.53184362,10.48799594,7.022111152,5.211076759,3.722293753,3,2,6,411.594,15,1700.161644,19.51365626,16,8,556
CCN1C=C/C(=C\C=C\c2cc[n+](CC)c3ccccc23)c2ccccc21,TVRUNVZRBXNONE-UHFFFAOYSA-N,3,0,1,0.16,15.96889479,9.653014879,6.674271432,5.149988506,3.714735557,2,2,4,353.489,14,461.4927822,15.79330819,12,4,699
CCN1C=C/C(=C\C=C\C=C\c2[n+](CC)c3ccccc3s2)c2ccccc21,LDIURJODNUMFCD-UHFFFAOYSA-N,3,0,2,0.16,16.37714308,9.821329277,6.637210973,4.988854536,3.593993693,3,2,5,385.556,14,1769.016392,18.49107443,14,6,626
CCN1C=C/C(=C/C=C/c2[n+](CC)c3ccccc3s2)c2ccccc21,DJAQPUXEDANWNL-UHFFFAOYSA-N,3,0,2,0.173913043,15.22244254,9.15466261,6.252310793,4.766632314,3.466845074,3,2,4,359.518,13,472.5612571,16.07508899,12,4,542
CCN1c2ccccc2C=C/C1=C\c1cc[n+](CC)c2ccccc12,CJRNTVYQEXDVCB-UHFFFAOYSA-N,3,0,1,0.173913043,14.81419425,8.990431255,6.279855118,4.891699834,3.626935883,2,2,3,327.451,13,168.6859858,14.37076957,11,2,566
CCN1c2ccccc2C=C/C1=C\C=C\c1[n+](CC)c2ccccc2o1,QUZOOPRJWZTRMY-UHFFFAOYSA-N,3,0,2,0.173913043,15.22244254,9.158745653,6.239340334,4.747727582,3.509061071,3,2,4,343.45,13,679.9938519,16.25694502,13,4,546
CCN1c2ccccc2C=C/C1=C/c1[n+](CC)c2ccccc2cc1,AGJZCWVTGOVGBS-UHFFFAOYSA-N,3,0,1,0.173913043,14.81419425,8.994514298,6.266884659,4.873973775,3.66639915,2,2,3,327.451,13,121.7202097,13.50299347,12,2,548
CCN1c2ccccc2C=C/C1=C/C=C/c1[n+](CC)c2ccccc2cc1,HQCBCYUEDZNVBO-UHFFFAOYSA-N,3,0,1,0.16,15.96889479,9.661180965,6.648330515,5.112179042,3.799167551,2,2,4,353.489,14,596.1345603,16.4089123,14,4,659
CCN1c2ccccc2C=C/C1=C/C=C/C=C/c1[n+](CC)c2ccccc2o1,OOAUUXKHPBKQDP-UHFFFAOYSA-N,3,0,2,0.16,16.37714308,9.825412319,6.624240514,4.969949804,3.63620969,3,2,5,369.488,14,825.7660212,16.77695005,15,6,633
CCN1c2ccccc2C=C/C1=C\C=C\C=C\c1cc[n+](CC)c2ccccc12,NNPJVUBHKCZPII-UHFFFAOYSA-N,3,0,1,0.148148148,17.12359533,10.32376459,7.046201153,5.353305996,3.884100172,2,2,5,379.527,15,1332.210673,18.25942826,15,6,776
CCN1c2ccccc2C=C/C1=C\C=C\C=C\C=C\c1[n+](CC)c2ccccc2s1,OKFVOTSYAZGOPA-UHFFFAOYSA-N,3,0,2,0.148148148,17.53184362,10.49207899,7.009140693,5.192172026,3.76450975,3,2,6,411.594,15,1422.086024,20.76883397,17,8,615
CCN1c2ccccc2C=C/C1=C/C=C/c1cc[n+](CC)c2ccccc12,ONKAXOHRKIYFDJ-UHFFFAOYSA-N,3,0,1,0.16,15.96889479,9.657097922,6.661300973,5.131083774,3.756951554,2,2,4,353.489,14,272.2664441,14.68712012,13,4,664
CCN1c2ccccc2C=C/C1=C/C=C/C=C/c1[n+](CC)c2ccccc2s1,ICQLMXQDTPECJU-UHFFFAOYSA-N,3,0,2,0.16,16.37714308,9.825412319,6.624240514,4.969949804,3.63620969,3,2,5,385.556,14,935.3433719,17.63814729,15,6,627
CCN1c2ccccc2C=C/C1=C\C=C\c1[n+](CC)c2ccccc2s1,XTSHHMSLNDHACR-UHFFFAOYSA-N,3,0,2,0.173913043,15.22244254,9.158745653,6.239340334,4.747727582,3.509061071,3,2,4,359.518,13,525.5979632,16.41373395,13,4,540
CCN1c2ccccc2C=C/C1=C\C=C\c1cc[n+](CC)c2ccccc12,ONKAXOHRKIYFDJ-UHFFFAOYSA-N,3,0,1,0.16,15.96889479,9.657097922,6.661300973,5.131083774,3.756951554,2,2,4,353.489,14,493.3616566,16.85244301,13,4,664
